Timestamp,Name,Email,Monday,Tuesday,Wednesday,Thursday,Friday
7/25/2017 13:14:15,CharlesB,j1536143@mvrht.net,1,1,0,1,1
2017-07-26,Swagoo1,j1536143@mvrht.net,1,0,1,1,1
2017-07-24,CharlesC,akasdasdfj@sharklasers.com,0,0,0,0,1
2017-07-23,Swagoo2,asjlafsdlfadsafdskl@mailinator.com,1,0,0,1,0
2017-07-22,CharlesD,yqeutgnc@sharklasers.com,1,1,0,1,0
2017-07-21,3,asjlafsdlfadsafdskl@mailinator.com,1,0,0,1,0
7/29/2017 13:14:15,CharlesE,asjlafsdlfadsafdskl@mailinator.com,1,1,0,1,0
7/29/2017 13:14:27,Swagoo4,asjlafsdlfadsafdskl@mailinator.com,1,0,1,1,0
7/29/2017 13:14:15,CharlesF,asjlafsdlfadsafdskl@mailinator.com,1,1,0,0,0
7/29/2017 13:14:27,Swagoo5,asjlafsdlfadsafdskl@mailinator.com,1,0,1,0,0
